,Model,rating,user,time_of_review,review,title,user_address,user_type
0,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Aryan  Patil,2months ago,"Bokeh mode is very excellent than any other handset at this budget.....   battery, camera, display overall performance is very best .....   gaming performance is aslo good   .....   at this budget no other handset can replace this handset  .......  must buy if ur budget is 15,000",Wonderful,Latur District,Certified Buyer
1,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,5months ago,Just awsome product the picture quality is good and battery backup is awsome and it is the only phone which supports 60 FPS in Games like PUB G just awsome had an awsome experience using this phone. I reccomend you to buy this product,Great product,North Twenty Four Parganas District,Certified Buyer
2,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Suresh Kumar,5months ago,"Samsung galaxy m30s is most useful.But Samsung can improve selfie camera.  Where is i am disappointed with the selfie but overall , This is the best bugdet phone and performance is good.And the display... is super good i loved the colors.And processor is decent. Not superb",Nice product,New Delhi,Certified Buyer
3,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,1,Rohit Purba,6months ago,Not worth for me. i buy for my samsung tv this mobile for live cast and smartthins app. but smart things app not working in this. i call samsung person and he saod that u buy online so it has limited function. i recommend not buy online any product. its worthless. when its same made by samsung company. i'm very sad. strongly recomended not buy any product online.,Utterly Disappointed,Rajpura,Certified Buyer
4,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,5months ago,"BSOLUTELY BEST PHONE, GO FOR THIS PHONELET ME CLEAR IT'S FEATURES1 CAMERA _ 482  BATTERY - 6000 MAH  WITH 15w  charger3   DISPAY   - SUPER AMOLED4-  DESIGN - FANTASTIC 5- 6000MAH BATTERY BUT VERY THIN PHON",Highly recommended,Muzaffarpur,Certified Buyer
5,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Shivam  Mishra,1month ago,"I have realized that this phone is full package.But i never feel it has 6000 mah battery.Approx 1 day after full use like 4 hours pubg 2 hours youtube and other work and its battery drain in 12 hours. I was accepting that this phone will with me approx 30 hours. But it was wrong.Even this phone has very great camera, display,ram management, also the look of this phone is superb.The display is slightly curved and the super amoled display make me feel so much great.But in the 14000 rupee a...",Pretty good,Kanpur,Certified Buyer
6,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Sachin Suresh,6months ago,"one of the good phone in this price range , the best thing in this phone is its massive battery.. camera qulaity is poor, both front and back cams. overall it is a good product.",Pretty good,Trivandrum,Certified Buyer
7,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,5months ago,Nice mobile and it comes good battery back up. And camera is good look so good,Awesome,Kendujhar,Certified Buyer
8,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Bharat Parmar,1month ago,"Been using this phone for more than 4 months now. It was super smooth during the first month, but it started hanging a bit. It's not extreme hanging, power button does the more often than not.Pros :BatteryDisplayCall Voice quality amazingPerformance is fine apart from rare hangs/lagsNetwork catching ability is great. None of the other phones worked in my apartment regarding networks, but this phone manages to catch network just fine. Cons :Camera is not upto the mark. Finger print s...",Delightful,Mumbai,Certified Buyer
9,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Flipkart Customer,2months ago,"This phone is works excellent so far after (6 months use), large display and good battery life what i want! Must keep up your software updated. I recommend this phone to my family and friends!",Wonderful,Chennai,Certified Buyer
10,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,7months ago,super camera,Awesome,Kozhikode,Certified Buyer
